gu,name,date,대여,반납
강남구,2301. 현대고등학교 건너편,202005,5916,6127
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202005,1704,1671
강남구,2303. 논현역 7번출구,202005,994,969
강남구,2304. 신영 ROYAL PALACE 앞,202005,292,119
강남구,2305. MCM 본사 직영점 앞,202005,466,442
강남구,2306. 압구정역 2번 출구 옆,202005,1180,1157
강남구,2307. 압구정 한양 3차 아파트,202005,2586,2540
강남구,2308. 압구정파출소 앞,202005,1053,1055
강남구,2309. 청담역(우리들병원 앞),202005,519,275
강남구,2310. 청담동 맥도날드 옆(위치),202005,824,814
강남구,2311. 학동로 래미안 아파트 앞,202005,329,117
강남구,2312. 청담역 13번 출구 앞,202005,540,524
강남구,2313. 금원빌딩 앞,202005,1755,1770
강남구,2314. 청담나들목입구,202005,1381,1402
강남구,2315. 봉은사역 5번출구 옆,202005,1575,1556
강남구,2316. 삼성역 8번출구,202005,1709,1710
강남구,2317. 삼성도로공원,202005,1698,1692
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202005,730,647
강남구,2319. 포스코4거리 서측(수협 삼성동 지점),202005,565,559
강남구,2320. 도곡역 대치지구대 방향,202005,1307,1295
강남구,2321. 학여울역 사거리,202005,1261,1211
강남구,2322. 삼성역 3번 출구,202005,911,914
강남구,2323. 주식회사 오뚜기 정문 앞,202005,532,521
강남구,2324. 천주교 대치 2동 교회 옆,202005,1369,1365
강남구,2325. 대치동 버거킹대치점,202005,1142,1128
강남구,2326. 대치동 삼성로,202005,410,362
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202005,1049,1054
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202005,536,517
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202005,82,84
강남구,2330. 스타벅스 앞,202005,657,655
강남구,2331. 동영문화센터앞,202005,551,491
강남구,2332. 선릉역3번출구,202005,1286,1282
강남구,2333. 양재역 3번출구 주변,202005,1022,707
강남구,2334. 삼호아파트 2동 ( 간선도로),202005,115,118
강남구,2335. 3호선 매봉역 3번출구앞,202005,1120,1112
강남구,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,202005,295,293
강남구,2337. 대모산입구역 2번출구 앞,202005,454,435
강남구,2339. 현대아파트 정문 앞,202005,576,560
강남구,2340. 삼호물산버스정류장(23370) 옆,202005,1498,1495
강남구,2341. 일원역 4~5번 출구 사이,202005,403,383
강남구,2342. 대청역 1번출구 뒤,202005,2382,2391
강남구,2343. 세곡사거리 대왕파출소 앞,202005,198,193
강남구,2344. 리엔파크 2단지 앞,202005,855,858
강남구,2347. 두산건설 본사,202005,322,123
강남구,2348. 포스코사거리(기업은행),202005,1749,1809
강남구,2349. 역삼빌딩 앞(하나은행 옆),202005,363,341
강남구,2350. 래미안그레이튼102동앞,202005,318,318
강남구,2351. 청소년수련관(수영장)앞,202005,320,314
강남구,2352. 서울본부세관(건설회관 앞),202005,280,115
강남구,2353. 강남구청역 2번출구 뒤,202005,664,446
강남구,2354. 청담역 2번출구,202005,355,347
강남구,2355. 삼성역 5~6번 출구 사이,202005,1603,1585
강남구,2356. 강남구청,202005,640,478
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202005,415,403
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202005,237,234
강남구,2359. 국립국악중 고교 정문 맞은편,202005,850,855
강남구,2360. 도곡1동 주민센터 교차로,202005,485,474
강남구,2361. 압구정역 교차로,202005,1097,1085
강남구,2362. 신사동 가로수길 입구,202005,1069,1057
강남구,2363. 강남 을지병원 교차로,202005,398,382
강남구,2364. 도산대로 렉서스 앞,202005,504,493
강남구,2365. K+ 타워 앞,202005,1236,1237
강남구,2368. 도곡동 경남아파트 건너편,202005,265,256
강남구,2369. KT선릉타워,202005,887,873
강남구,2370. 한티역 3번출구,202005,903,885
강남구,2371. 한국우편사업진흥원,202005,191,136
강남구,2372. 대치역 사거리,202005,1770,1755
강남구,2373. 개포동역 사거리,202005,1443,1394
강남구,2375. 수서역 1번출구 앞,202005,1119,1122
강남구,2376. 수서역 6번출구 앞,202005,193,199
강남구,2377. 수서역 5번출구 뒤,202005,2303,2298
강남구,2380. 삼성동베이직하우스앞,202005,527,493
강남구,2381. 언주역 6번출구앞,202005,529,530
강남구,2382. 역삼동 sk뷰 501동앞,202005,294,287
강남구,2383. 보금자리정원,202005,249,251
강남구,2384. 자곡사거리,202005,2054,2083
강남구,2385. 학동역,202005,709,685
강남구,2387. 래미안강남힐즈 사거리,202005,861,851
강남구,2388. 강남구 도시관리공단,202005,484,203
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202005,511,497
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202005,377,373
강남구,2391. 구룡터널 입구(개포1단지아파트),202005,13,14
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202005,67,67
강남구,2393. 구룡사 앞 교차로 (보도육교),202005,61,53
강남구,2395. 개포1단지아파트 입구 (보도육교),202005,12,6
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202005,951,943
강남구,2398. 더라움,202005,439,330
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202005,295,276
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202005,131,123
강남구,2404. 대모산입구역 4번 출구 앞,202005,817,812
강남구,2405. 청담공원앞 교차로,202005,680,239
강남구,2406. 논현동 광명빌딩 앞,202005,259,214
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),202005,1279,1273
강남구,2408. 강남한양수자인아파트,202005,759,748
